taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	references	taxonRemarks
Candidatus_Huberarchaea	Huberarchaeota		Candidatus Huberarchaea	phylum		
Asgardarchaeota	Asgardarchaeota	Archaea	Asgardarchaeota	phylum	https://gtdb.ecogenomic.org/tree?r=p__Asgardarchaeota	
Candidatus_Heimdallarchaeota	Asgardarchaeota		Candidatus Heimdallarchaeota	phylum		
Candidatus_Geothermarchaeota	Thermoproteota		Candidatus Geothermarchaeota	phylum		
Asgardarchaeota	Asgardarchaeota	Archaea	Asgardarchaeota	phylum	https://gtdb.ecogenomic.org/tree?r=p__Asgardarchaeota	
Candidatus_Helarchaeota	Asgardarchaeota		Candidatus Helarchaeota	phylum		
Candidatus_Nezhaarchaeota	Thermoproteota		Candidatus Nezhaarchaeota	phylum		
Asgardarchaeota	Asgardarchaeota	Archaea	Asgardarchaeota	phylum	https://gtdb.ecogenomic.org/tree?r=p__Asgardarchaeota	
Candidatus_Odinarchaeota	Asgardarchaeota		Candidatus Odinarchaeota	phylum		
Proteobacteria	Thermoplasmatota		Proteobacteria	phylum		
Verrucomicrobia	Thermoplasmatota		Verrucomicrobia	phylum		
Actinomycetia	Actinomycetia	Actinobacteriota	Actinomycetia	class	https://gtdb.ecogenomic.org/tree?r=c__Actinomycetia	
Actinobacteria	Actinomycetia		Actinobacteria	class		
Gammaproteobacteria	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Gammaproteobacteria	
Betaproteobacteria	Gammaproteobacteria		Betaproteobacteria	class		
Campylobacteria	Campylobacteria	Campylobacterota	Campylobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Campylobacteria	
Epsilonproteobacteria	Campylobacteria		Epsilonproteobacteria	class		
Bacteroidia	Bacteroidia	Bacteroidota	Bacteroidia	class	https://gtdb.ecogenomic.org/tree?r=c__Bacteroidia	
Flavobacteriia	Bacteroidia		Flavobacteriia	class		
Bacilli	Bacilli	Firmicutes	Bacilli	class	https://gtdb.ecogenomic.org/tree?r=c__Bacilli	
Mollicutes	Bacilli		Mollicutes	class		
Bacteroidia	Bacteroidia	Bacteroidota	Bacteroidia	class	https://gtdb.ecogenomic.org/tree?r=c__Bacteroidia	
Cytophagia	Bacteroidia		Cytophagia	class		
Bacilli	Bacilli	Firmicutes	Bacilli	class	https://gtdb.ecogenomic.org/tree?r=c__Bacilli	
Erysipelotrichia	Bacilli		Erysipelotrichia	class		
Acidobacteriae	Acidobacteriae	Acidobacteriota	Acidobacteriae	class	https://gtdb.ecogenomic.org/tree?r=c__Acidobacteriae	
Acidobacteriia	Acidobacteriae		Acidobacteriia	class		
Bacteroidia	Bacteroidia	Bacteroidota	Bacteroidia	class	https://gtdb.ecogenomic.org/tree?r=c__Bacteroidia	
Sphingobacteriia	Bacteroidia		Sphingobacteriia	class		
Verrucomicrobiae	Verrucomicrobiae	Verrucomicrobiota	Verrucomicrobiae	class	https://gtdb.ecogenomic.org/tree?r=c__Verrucomicrobiae	
Opitutae	Verrucomicrobiae		Opitutae	class		
Bacteroidia	Bacteroidia	Bacteroidota	Bacteroidia	class	https://gtdb.ecogenomic.org/tree?r=c__Bacteroidia	
Chitinophagia	Bacteroidia		Chitinophagia	class		
Clostridia	Clostridia	Firmicutes_A	Clostridia	class	https://gtdb.ecogenomic.org/tree?r=c__Clostridia	
Tissierellia	Clostridia		Tissierellia	class		
Rhodothermia	Rhodothermia	Bacteroidota	Rhodothermia	class	https://gtdb.ecogenomic.org/tree?r=c__Rhodothermia	
Balneolia	Rhodothermia		Balneolia	class		
Actinomycetia	Actinomycetia	Actinobacteriota	Actinomycetia	class	https://gtdb.ecogenomic.org/tree?r=c__Actinomycetia	
Nitriliruptoria	Actinomycetia		Nitriliruptoria	class		
Bacteroidia	Bacteroidia	Bacteroidota	Bacteroidia	class	https://gtdb.ecogenomic.org/tree?r=c__Bacteroidia	
Saprospiria	Bacteroidia		Saprospiria	class		
Gracilibacteria	Gracilibacteria	Patescibacteria	Gracilibacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Gracilibacteria	
Candidatus_Peribacteria	Gracilibacteria		Candidatus Peribacteria	class		
Verrucomicrobiae	Verrucomicrobiae	Verrucomicrobiota	Verrucomicrobiae	class	https://gtdb.ecogenomic.org/tree?r=c__Verrucomicrobiae	
Spartobacteria	Verrucomicrobiae		Spartobacteria	class		
Gammaproteobacteria	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Gammaproteobacteria	
Acidithiobacillia	Gammaproteobacteria		Acidithiobacillia	class		
Gammaproteobacteria	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Gammaproteobacteria	
Hydrogenophilalia	Gammaproteobacteria		Hydrogenophilalia	class		
Brocadiae	Brocadiae	Planctomycetota	Brocadiae	class	https://gtdb.ecogenomic.org/tree?r=c__Brocadiae	
Candidatus_Brocadiae	Brocadiae		Candidatus Brocadiae	class		
Fimbriimonadia	Fimbriimonadia	Armatimonadota	Fimbriimonadia	class	https://gtdb.ecogenomic.org/tree?r=c__Fimbriimonadia	
Chthonomonadetes	Fimbriimonadia		Chthonomonadetes	class		
Chloroflexia	Chloroflexia	Chloroflexota	Chloroflexia	class	https://gtdb.ecogenomic.org/tree?r=c__Chloroflexia	
Thermomicrobia	Chloroflexia		Thermomicrobia	class		
Anaerolineae	Anaerolineae	Chloroflexota	Anaerolineae	class	https://gtdb.ecogenomic.org/tree?r=c__Anaerolineae	
Thermoflexia	Anaerolineae		Thermoflexia	class		
Verrucomicrobiae	Verrucomicrobiae	Verrucomicrobiota	Verrucomicrobiae	class	https://gtdb.ecogenomic.org/tree?r=c__Verrucomicrobiae	
Methylacidiphilae	Verrucomicrobiae		Methylacidiphilae	class		
Gammaproteobacteria	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Gammaproteobacteria	
Candidatus_Muproteobacteria	Gammaproteobacteria		Candidatus Muproteobacteria	class		
Caldisericia	Caldisericia	Caldisericota	Caldisericia	class	https://gtdb.ecogenomic.org/tree?r=c__Caldisericia	
Candidatus_Cryosericia	Caldisericia		Candidatus Cryosericia	class		
Anaerolineae	Anaerolineae	Chloroflexota	Anaerolineae	class	https://gtdb.ecogenomic.org/tree?r=c__Anaerolineae	
Ardenticatenia	Anaerolineae		Ardenticatenia	class		
Anaerolineae	Anaerolineae	Chloroflexota	Anaerolineae	class	https://gtdb.ecogenomic.org/tree?r=c__Anaerolineae	
Caldilineae	Anaerolineae		Caldilineae	class		
SAR324	SAR324	SAR324	SAR324	class	https://gtdb.ecogenomic.org/tree?r=c__SAR324	
Candidatus_Lambdaproteobacteria	SAR324		Candidatus Lambdaproteobacteria	class		
Fermentibacteria	Fermentibacteria	Fermentibacterota	Fermentibacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Fermentibacteria	
Candidatus_Fermentibacteria_(class)	Fermentibacteria		Candidatus Fermentibacteria (class)	class		
Sericytochromatia	Sericytochromatia	Cyanobacteria	Sericytochromatia	class	https://gtdb.ecogenomic.org/tree?r=c__Sericytochromatia	
Candidatus_Sericytochromatia	Sericytochromatia		Candidatus Sericytochromatia	class		
Anaerolineae	Anaerolineae	Chloroflexota	Anaerolineae	class	https://gtdb.ecogenomic.org/tree?r=c__Anaerolineae	
Candidatus_Thermofonsia	Anaerolineae		Candidatus Thermofonsia	class		
Marinamargulisbacteria	Marinamargulisbacteria	Margulisbacteria	Marinamargulisbacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Marinamargulisbacteria	
Candidatus_Marinamargulisbacteria	Marinamargulisbacteria		Candidatus Marinamargulisbacteria	class		
Cyanobacteriia	Cyanobacteriia	Cyanobacteria	Cyanobacteriia	class	https://gtdb.ecogenomic.org/tree?r=c__Cyanobacteriia	
